# generated by code/tools/gis_to_dataset.py on 2026-09-11 17:01
# source   : E:\00code_ws\LAMATA_new\GIS\hydrography.shp
# size     : 15564 bytes, mtime 2012-03-06 13:29
# crs      : EPSG:23029
# features : 97
# stream geometry in EPSG:23029 -- GRID-INDEPENDENT, the model maps it onto its own grid
seg_id,seq,x,y
93,3,741223.621,4553860.123
93,4,741223.621,4553850.123
93,5,741213.621,4553840.123
93,6,741213.621,4553825.123
93,7,741183.621,4553795.123
93,8,741173.621,4553775.123
93,9,741143.621,4553740.123
93,10,741133.621,4553705.123
93,11,741113.621,4553670.123
93,12,741113.621,4553645.123
93,13,741073.621,4553600.123
93,14,741073.621,4553590.123
93,15,741053.621,4553570.123
93,16,741043.621,4553545.123
93,17,741023.621,4553520.123
93,18,741008.621,4553520.123
93,19,740983.621,4553505.123
93,20,740968.621,4553505.123
93,21,740938.621,4553475.123
94,0,741403.621,4553820.123
94,1,741403.621,4553790.123
94,2,741418.621,4553760.123
94,3,741418.621,4553695.123
94,4,741408.621,4553675.123
94,5,741403.621,4553640.123
94,6,741388.621,4553620.123
94,7,741378.621,4553580.123
94,8,741363.621,4553560.123
94,9,741363.621,4553550.123
94,10,741348.621,4553525.123
94,11,741348.621,4553485.123
94,12,741353.621,4553480.123
94,13,741358.621,4553445.123
94,14,741348.621,4553435.123
94,15,741348.621,4553425.123
94,16,741328.621,4553405.123
95,0,741243.621,4553945.123
95,1,741258.621,4553925.123
95,2,741258.621,4553880.123
95,3,741263.621,4553875.123
95,4,741263.621,4553835.123
95,5,741253.621,4553800.123
95,6,741248.621,4553740.123
95,7,741233.621,4553725.123
95,8,741213.621,4553670.123
95,9,741178.621,4553630.123
95,10,741178.621,4553610.123
95,11,741148.621,4553580.123
95,12,741143.621,4553565.123
95,13,741138.621,4553565.123
95,14,741128.621,4553550.123
95,15,741123.621,4553455.123
95,16,741063.621,4553390.123
96,0,740468.621,4554210.123
96,1,740475.298,4554226.984
96,2,740482.177,4554243.917
96,3,740488.621,4554255.123
